Topic1,Topic2,Topic3,Topic4
0.248306855971472,0.717214864664777,0.602738366512145,0.69129631400585
0.479657490768039,0.280353272429029,0.389253707462205,0.442067631478855
0.395592003171795,0.41876214193935,0.465870536487793,0.325807491484964
0.698227273941979,0.426313631622476,0.519634226280372,0.593398765527786
0.459935594866955,0.653979357918031,0.255748990814436,0.653918109186514
0.447431067143632,0.349673205467176,0.674225562856174,0.748123417197636
0.297544383028417,0.383094979224485,0.441770805024439,0.639918877898603
0.664998318845098,0.545359293167227,0.769031327945172,0.669497550491062
0.570228963643898,0.542477502948467,0.44461048227379,0.593991250259957
0.358052982513226,0.556033139422583,0.757349437025251,0.288041811506642
0.4511845226,0.662840423958996,0.467905334072778,0.652920776391778
0.708370722596802,0.385715486075637,0.216052512425668,0.480634220104767
0.421217112464697,0.407652332931823,0.244441027929872,0.368533072093999
0.523368614242999,0.267062074998982,0.461404289413271,0.574743808605701
0.698354593693079,0.526914483259503,0.439680926941198,0.448823651543289
0.41305015054602,0.420225304211071,0.38779609087488,0.414462749373729
0.648558717347577,0.497298171528762,0.69935372411803,0.34168478339883
0.212761638201971,0.618245766405064,0.273280096437274,0.355176638988072
0.607907307518026,0.542968614496857,0.408488047007963,0.609936906147612
0.508045173045976,0.498695521844283,0.491600037708356,0.588049884299124
0.406382164629837,0.786103245789023,0.439604539773366,0.648879831357861
0.476073944823959,0.304047073779137,0.595099943208031,0.665523731041573
0.499352958812502,0.334453418540704,0.465372433915592,0.394324833919831
0.501315874807243,0.401765676431163,0.648909014956031,0.646132263789524
0.573785072428473,0.426865232582638,0.774184233079292,0.364408302648482
0.690718398523704,0.204495791980721,0.489961651893618,0.559444298289425
0.33551904189928,0.598106858515568,0.342304189534478,0.494101726322684
0.25732803128056,0.315460251246956,0.423699432352302,0.605880607231783
0.62428298544678,0.577469000394918,0.68440214775119,0.548017256179843
0.681746192092536,0.33142217700669,0.652231450377959,0.829219955544799
0.648983214269555,0.309877298586089,0.262844035273627,0.556755357363411
0.777548126116896,0.619726098098672,0.229626879139761,0.416093012878163
0.491139591399307,0.586688801518848,0.577220054878865,0.446889971280575
0.382604492593081,0.41975449607004,0.527809845696919,0.712094676739876
0.585048787895534,0.479616772771053,0.501621656567446,0.244794660222628
0.605151347986451,0.429191326667171,0.684923028788521,0.793486317069843
0.774013711351564,0.429593126679068,0.574336276945344,0.609119157447886
0.584101943685215,0.590875787816839,0.602870702159726,0.505063930182229
0.69481730587835,0.520249834381981,0.805249936783529,0.415851194210519
0.395546546621155,0.452624947395028,0.808906321893063,0.403682735498127
0.552247445546022,0.280603697144605,0.384985008381695,0.484952184881777
0.306133234927154,0.520353577521919,0.236309631506083,0.385041248738631
0.371317954445083,0.577179517451079,0.782135936382812,0.465998718874824
0.252223644538415,0.501530791060087,0.441762130346451,0.660404727919746
0.399097508079391,0.732411249431396,0.584818875348112,0.337773044142024
0.375902192644261,0.723956126561177,0.613515102913288,0.237902105887025
0.532400157215711,0.719660698596648,0.30721926128695,0.335622986998452
0.425434967219317,0.197435418404457,0.543366784696254,0.59949919473864
0.375389283470623,0.624804454376904,0.628403289689212,0.395121900101355
0.687500603573459,0.372269704039089,0.477234906863713,0.369328765131917
0.174724534738836,0.701007099843966,0.649624901316997,0.675029899836239
0.518164964645872,0.553034188508814,0.48272728713233,0.152085996920106
0.72703183100951,0.328082048986601,0.660385665728118,0.622243182005547
0.409661889044908,0.72531409314189,0.456959917939345,0.580382194542361
0.463274231508172,0.482164461372028,0.332827051700563,0.609789367271378
0.409045155014785,0.62497383867085,0.504589586297529,0.279538532337475
0.309390547317576,0.41796316856786,0.439174533778612,0.595441113422329
0.505781087944798,0.202315048266619,0.350248008203428,0.559545167231348
0.683924494167151,0.521774286617156,0.45974125809457,0.500674507736835
0.436770655129026,0.437919964413882,0.135388976069607,0.673391385060548
0.559356618410463,0.79043034458735,0.125233357702633,0.391882384499154
0.446136455330411,0.114922960837561,0.343554925120607,0.565755215434864
0.471464995979657,0.585592560314212,0.325401092829541,0.549263386992818
0.327945655622875,0.492984142640424,0.297337219357867,0.603974468740984
0.289119858555086,0.508492526674509,0.849778789070359,0.519449038401725
0.686964265516639,0.479861880013729,0.396289206533708,0.840455551468117
0.362348328749666,0.613315000562654,0.712301051531287,0.688496954889215
0.360857610781815,0.394053171880695,0.69034773655072,0.592821363130278
0.361015227926611,0.320874420505944,0.576195140844188,0.464526408654655
0.322661200661329,0.599640174668108,0.441166681301784,0.494059863394465
0.592224691269405,0.362081870602224,0.390666349987544,0.326644763362911
0.637324273396412,0.516579986057415,0.448099700682229,0.314834276607571
0.232937676739437,0.531694107028944,0.525433885731038,0.399228161135414
0.449941014889852,0.391221754172392,0.696389981409349,0.653092836336052
0.735865341023256,0.350296458375803,0.610451483629548,0.777584844366551
0.415287969082276,0.120010707152594,0.596451006883591,0.549852967290394
0.575676390627875,0.491470389925735,0.422878441655228,0.460107180623089
0.644330647355596,0.462716882208555,0.501101859533147,0.712354598061312
0.638121691898315,0.29718781540449,0.335697413514828,0.766020286613068
0.697292620679194,0.751959646232665,0.616019135154877,0.653073122486045
0.186728360522916,0.252695265610082,0.689234522838333,0.848282888467713
0.66367282627206,0.722870433854154,0.572465988291929,0.429815226639141
0.527308580891908,0.732958590860769,0.415708704158221,0.501130694915989
0.506038887337122,0.540417360211693,0.753408501538696,0.509071984045056
0.235501107379585,0.659714058354302,0.392315162889979,0.384081257564692
0.681116817522086,0.792016173202209,0.385447368150731,0.603064597128584
0.456901891253007,0.385276196277636,0.631266951533091,0.658642176545313
